2017/10/11 10:09:24;1;1;201;17886;1;OKSAVE;
2017/10/11 10:09:29;1;1;301;17886;1;OKSAVE;
2017/10/11 10:09:34;1;1;2901;17886;1;OKSAVE;
2017/10/11 10:09:39;1;1;3001;17886;1;OKSAVE;
2017/10/11 10:10:44;1;1;101;17886;1;KOSAVE;
2017/10/11 10:10:49;1;1;201;17886;1;OKSAVE;
2017/10/11 10:10:53;1;1;2901;17886;1;OKSAVE;
2017/10/11 10:10:57;1;1;3001;17886;1;OKSAVE;
2017/10/11 10:11:02;1;1;301;17886;1;OKSAVE;
2017/10/11 10:11:57;1;1;101;17886;1;KOSAVE;
2017/10/11 10:12:02;1;1;201;17886;1;OKSAVE;
2017/10/11 10:12:06;1;1;2901;17886;1;OKSAVE;
2017/10/11 10:12:10;1;1;3001;17886;1;OKSAVE;
2017/10/11 10:12:15;1;1;301;17886;1;OKSAVE;
2017/10/11 10:12:44;1;1;101;17886;1;KOSAVE;
2017/10/11 10:15:05;1;1;101;17886;1;OKSAVE;
2017/10/11 10:15:19;1;1;201;17886;1;OKSAVE;
2017/10/11 10:15:24;1;1;101;17886;1;OKSAVE;
2017/10/11 10:15:28;1;1;2901;17886;1;OKSAVE;
2017/10/11 10:15:33;1;1;3001;17886;1;OKSAVE;
2017/10/11 10:15:37;1;1;301;17886;1;OKSAVE;
2017/10/11 10:49:53;1;1;201;17876;1;OKSAVE;
2017/10/11 10:51:46;1;1;2901;17876;1;OKSAVE;
2017/10/11 10:52:53;1;1;3001;17876;1;OKSAVE;
2017/10/11 10:55:38;1;1;301;17876;1;OKSAVE;
2017/10/11 10:56:14;1;1;101;17876;1;KOSAVE;
