2018/02/20 13:23:37;2;3;7703;18809;1;OKSAVE;
2018/02/20 13:23:39;2;3;7803;18809;1;OKSAVE;
2018/02/20 13:26:02;2;3;7703;18809;1;OKSAVE;
2018/02/20 13:26:04;2;3;7803;18809;1;OKSAVE;
2018/02/20 13:26:37;2;3;7903;18809;1;OKSAVE;
2018/02/20 13:27:37;2;3;8003;18809;1;OKSAVE;
2018/02/20 13:28:24;2;3;7703;18809;1;OKSAVE;
2018/02/20 13:28:25;2;3;7803;18809;1;OKSAVE;
2018/02/20 13:28:27;2;3;7903;18809;1;OKSAVE;
2018/02/20 13:28:28;2;3;8003;18809;1;OKSAVE;
2018/02/20 13:28:29;2;3;8103;18809;1;OKSAVE;
2018/02/20 13:29:20;2;3;7703;18809;1;OKSAVE;
2018/02/20 13:29:21;2;3;7803;18809;1;OKSAVE;
2018/02/20 13:29:22;2;3;7903;18809;1;OKSAVE;
2018/02/20 13:29:22;2;3;8003;18809;1;OKSAVE;
2018/02/20 13:29:23;2;3;8103;18809;1;OKSAVE;
2018/02/20 13:29:24;2;3;8203;18809;1;OKSAVE;
2018/02/20 13:29:24;2;3;8303;18809;1;OKSAVE;
2018/02/20 13:30:07;2;3;7703;18809;1;OKSAVE;
2018/02/20 13:31:27;2;3;7703;18809;1;OKSAVE;
2018/02/20 13:31:28;2;3;7803;18809;1;OKSAVE;
2018/02/20 13:31:28;2;3;7903;18809;1;OKSAVE;
2018/02/20 13:31:29;2;3;8003;18809;1;OKSAVE;
2018/02/20 13:31:31;2;3;8103;18809;1;OKSAVE;
2018/02/20 13:31:32;2;3;8203;18809;1;OKSAVE;
2018/02/20 13:31:34;2;3;8303;18809;1;OKSAVE;
2018/02/20 13:33:12;2;3;7703;18809;1;OKSAVE;
2018/02/20 13:33:13;2;3;7803;18809;1;OKSAVE;
2018/02/20 13:33:14;2;3;7903;18809;1;OKSAVE;
2018/02/20 13:33:15;2;3;8003;18809;1;OKSAVE;
2018/02/20 13:33:17;2;3;8103;18809;1;OKSAVE;
2018/02/20 13:33:18;2;3;8203;18809;1;OKSAVE;
2018/02/20 13:33:19;2;3;8303;18809;1;OKSAVE;
2018/02/20 13:33:33;2;3;7703;18809;1;OKSAVE;
2018/02/20 14:36:51;2;3;7803;18808;1;OKSAVE;
2018/02/20 14:36:52;2;3;7903;18808;1;OKSAVE;
2018/02/20 14:36:54;2;3;8003;18808;1;OKSAVE;
2018/02/20 14:36:55;2;3;7703;18808;1;OKSAVE;
2018/02/20 16:01:09;2;3;7703;18808;1;OKSAVE;
2018/02/20 16:01:09;2;3;7903;18808;1;OKSAVE;
2018/02/20 16:01:10;2;3;8003;18808;1;OKSAVE;
2018/02/20 16:01:11;2;3;7803;18808;1;OKSAVE;
