2017/10/11 10:11:43;1;6;4206;12504;1;OKSAVE;
2017/10/11 10:11:48;1;6;1606;12504;1;KOSAVE;
2017/10/11 10:11:52;1;6;1706;12504;1;OKSAVE;
2017/10/11 10:11:57;1;6;4306;12504;1;OKSAVE;
2017/10/11 10:12:48;1;6;1606;12504;1;KOSAVE;
2017/10/11 10:13:40;1;6;1606;12504;1;KOSAVE;
2017/10/11 10:14:38;1;6;1606;12504;1;OKSAVE;
2017/10/11 10:50:54;1;6;1706;12503;1;OKSAVE;
2017/10/11 10:50:59;1;6;1606;12503;1;KOSAVE;
2017/10/11 10:51:05;1;6;4306;12503;1;OKSAVE;
2017/10/11 10:51:12;1;6;1806;12503;1;OKSAVE;
2017/10/11 10:51:18;1;6;4206;12503;1;OKSAVE;
2017/10/11 10:51:25;1;6;4406;12503;1;OKSAVE;
2017/10/11 10:54:39;1;6;1706;12503;1;OKSAVE;
2017/10/11 10:54:44;1;6;4206;12503;1;OKSAVE;
2017/10/11 10:54:50;1;6;4306;12503;1;OKSAVE;
2017/10/11 10:54:55;1;6;1606;12503;1;KOSAVE;
2017/10/11 10:55:00;1;6;1806;12503;1;OKSAVE;
2017/10/11 10:55:05;1;6;4406;12503;1;OKSAVE;
2017/10/11 10:56:05;1;6;1606;12503;1;OKSAVE;
